version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,92403000,-241823192.46,538574580.88,240577939.47,0,2186.7
0,0,92404000,-241823257.94,538574604.85,240577856.53,0,2200.8
0,0,92405000,-241823314.16,538574613.49,240577760.17,0,2217.5
0,0,92406000,-241823354.24,538574641.75,240577662.22,0,2229.4
0,0,92407000,-241823383.86,538574670.13,240577574.04,0,2241.7
0,0,92408000,-241823398.65,538574693.21,240577500.67,0,2256.4
0,0,92409000,-241823421.29,538574726.99,240577390.12,0,2270.6
0,0,92410000,-241823425.62,538574776.73,240577278.12,0,2281.3
0,0,92411000,-241823421.84,538574812.47,240577166.47,0,2296.5
0,0,92412000,-241823419.63,538574856.27,240577070.2,0,2310.4
0,0,92413000,-241823423.96,538574891.63,240576976.96,0,2322.4
0,0,92414000,-241823431.27,538574914.87,240576888.33,0,2338.1
0,0,92415000,-241823420.16,538574957.87,240576823.38,0,2350.3
0,0,92416000,-241823393.7,538574987.09,240576778.15,0,2365.6
0,0,92417000,-241823377.32,538574991.31,240576769.44,0,2380.2
0,0,92418000,-241823361.47,538574987.47,240576783.58,0,2389.6
